sgf,sample_source,side,player,fox_rank,actual_rank_text,actual_rank_value,actual_group,model_rank_value,model_group,metric_rank_reassigned,metric_reassignment_method,metric_adjusted_rank_value,metric_adjusted_group,metric_nearest_rank_value,metric_nearest_group,metric_cluster_id,metric_cluster_k,metric_cluster_collection_class,metric_cluster_rank_median,metric_cluster_group,metric_cluster_distance,metric_cluster_second_distance,metric_cluster_margin,metric_cluster_radius_p90,metric_cluster_distance_ratio,metric_cluster_reassigned,twelve_d_style_rule_hit,twelve_d_style_rule_reassigned,metric_original_rank_distance,metric_nearest_rank_distance,metric_reassignment_margin,metric_reassignment_reason,strength,estimated_rank_value,estimated_group,numeric_error,samples,max_visits,quality_score,first_choice_rate,top3_rate,top5_rate,outside_top5_rate,average_ai_rank,excellent_rate,great_rate,good_move_rate,inaccuracy_rate,match_rate,mistake_rate,average_difficulty,weighted_point_loss,average_score_loss,average_score_equivalent_loss,median_score_loss,p75_score_equivalent_loss,p90_score_equivalent_loss,p95_score_equivalent_loss,max_score_equivalent_loss,loss_stddev,average_winrate_loss,bad_move_rate,blunder_rate,opening_samples,middlegame_samples,endgame_samples,opening_weighted_loss,middlegame_weighted_loss,endgame_weighted_loss,opening_good_move_rate,middlegame_good_move_rate,endgame_good_move_rate,robust_metric_distance,statistical_outlier,nearest_metric_group,actual_metric_distance,nearest_metric_distance,rank_mismatch_candidate,residual_core_four_outlier,residual_core_four_metric,residual_core_four_direction,residual_core_four_robust_z,residual_core_four_abs_robust_z,residual_core_four_value,residual_core_four_class_median
2026-06-08_204453_zhongailm_vs_V532046025_1780922693030021275.sgf,fox_dan,B,zhongailm,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,3.932,4.027,0.095,7.439,0.529,False,False,False,0.918,0.918,0.0,,6-10k,-8.0,kyu_level,-9.0,90,48,36.781,0.2,0.3889,0.4667,0.5333,6.233,0.2556,0.1222,0.4444,0.2889,0.3633,0.2667,35.6,5.078,3.303,3.303,1.846,4.551,6.703,12.751,27.893,4.945,8.361,0.5556,0.0778,30,50,10,3.048,6.128,2.146,0.6667,0.32,0.4,0.973,False,low_dan,1.018,1.018,False,False,,,,,,
2026-06-08_204453_zhongailm_vs_V532046025_1780922693030021275.sgf,fox_dan,W,V532046025,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,3.525,3.56,0.036,7.439,0.474,False,False,False,0.769,0.769,0.0,,6-10k,-8.0,kyu_level,-9.0,90,48,39.967,0.2556,0.4444,0.4778,0.5222,5.989,0.3111,0.0222,0.4667,0.2667,0.3983,0.2667,36.0,5.154,3.264,3.264,1.49,4.008,5.825,13.426,31.797,5.541,8.132,0.5333,0.0667,30,50,10,2.072,6.617,0.85,0.6333,0.32,0.7,0.87,False,low_dan,0.849,0.849,False,False,,,,,,
2026-06-08_204458_韩炫均_vs_a531290245_1780922698030032490.sgf,fox_dan,B,韩炫均,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,8.811,8.839,0.028,7.439,1.184,False,False,False,2.477,2.477,0.0,,6-10k,-8.0,kyu_level,-9.0,77,48,34.256,0.1948,0.2987,0.3377,0.6623,7.169,0.2727,0.0519,0.4545,0.1558,0.3532,0.3896,43.2,8.29,5.453,5.453,1.866,6.847,18.965,21.214,31.497,7.799,13.951,0.5455,0.1948,30,47,0,3.01,9.919,8.29,0.7,0.2979,0.4545,2.099,False,low_dan,2.543,2.543,False,False,,,,,,
2026-06-08_204458_韩炫均_vs_a531290245_1780922698030032490.sgf,fox_dan,W,a531290245,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,8.524,8.557,0.033,7.439,1.146,False,False,False,2.558,2.558,0.0,,3-5k,-4.0,kyu_level,-5.0,76,48,46.164,0.1974,0.3684,0.4211,0.5789,6.447,0.2895,0.0658,0.4342,0.2368,0.3513,0.3289,53.2,8.079,5.504,5.504,1.686,8.262,18.911,20.116,29.921,7.618,14.46,0.5658,0.2105,30,46,0,2.769,9.511,8.079,0.6333,0.3043,0.4342,2.019,False,low_dan,2.618,2.618,False,False,,,,,,
2026-06-08_204619_lshabc1234_vs_a533253650_1780922779030043412.sgf,fox_dan,B,lshabc1234,2段,2段,2,low_dan,2,low_dan,False,,2,low_dan,1,low_dan,1,12,2d-fox,2.0,low_dan,5.55,5.579,0.029,7.966,0.697,False,False,False,1.182,1.182,0.0,,1-2k,-1.5,kyu_level,-3.5,90,48,61.505,0.2333,0.3889,0.5111,0.4889,5.8,0.3111,0.0667,0.5111,0.2556,0.4117,0.2333,54.8,5.772,3.958,3.958,1.045,3.753,10.873,18.32,32.187,7.09,1.701,0.4889,0.1111,30,50,10,2.768,7.64,0.986,0.6667,0.38,0.7,1.074,False,low_dan,1.224,1.224,False,False,,,,,,
2026-06-08_204619_lshabc1234_vs_a533253650_1780922779030043412.sgf,fox_dan,W,a533253650,2段,2段,2,low_dan,2,low_dan,False,,2,low_dan,2,low_dan,1,12,2d-fox,2.0,low_dan,5.611,5.738,0.127,7.966,0.704,False,False,False,1.234,1.234,0.0,,1-2d,1.5,low_dan,-0.5,90,48,67.725,0.3889,0.5778,0.6222,0.3778,4.656,0.4556,0.0778,0.6222,0.1778,0.535,0.2,49.1,6.397,3.584,3.584,0.343,3.24,9.566,21.985,32.063,7.371,1.364,0.3778,0.1,30,50,10,3.228,8.451,1.873,0.7667,0.56,0.5,1.177,False,low_dan,1.259,1.259,False,False,,,,,,
2026-06-08_204728_琴声易忘_vs_V532809737_1780922848030041625.sgf,fox_dan,B,琴声易忘,2段,2段,2,low_dan,2,low_dan,False,,2,low_dan,2,low_dan,1,12,2d-fox,2.0,low_dan,4.571,4.664,0.094,7.966,0.574,False,False,False,0.97,0.97,0.0,,1-2d,1.5,low_dan,-0.5,90,48,61.95,0.3444,0.5222,0.5889,0.4111,4.933,0.4222,0.0556,0.5889,0.1667,0.4956,0.2444,49.7,5.331,3.317,3.317,0.662,3.423,9.928,17.791,31.771,5.897,2.412,0.4111,0.1,30,50,10,2.23,5.871,6.159,0.8,0.52,0.3,0.841,False,low_dan,1.001,1.001,False,False,,,,,,
2026-06-08_204728_琴声易忘_vs_V532809737_1780922848030041625.sgf,fox_dan,W,V532809737,2段,2段,2,low_dan,2,low_dan,False,,2,low_dan,2,low_dan,1,12,2d-fox,2.0,low_dan,5.611,5.734,0.123,7.966,0.704,False,False,False,1.231,1.231,0.0,,1-2d,1.5,low_dan,-0.5,90,48,67.636,0.4222,0.6333,0.7,0.3,4.067,0.5111,0.0222,0.6,0.1556,0.5356,0.2444,53.8,5.165,3.175,3.175,0.145,3.668,8.595,18.272,26.743,5.702,1.992,0.4,0.1,30,50,10,0.988,5.283,8.073,0.8333,0.58,0.0,1.169,False,low_dan,1.24,1.24,False,False,,,,,,
2026-06-08_205300_8如此而己_vs_JSW69_1780923180030060119.sgf,fox_dan,B,8如此而己,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,4,mid_dan,3,12,4d-fox,4.0,mid_dan,2.333,2.517,0.184,7.196,0.324,False,False,False,0.482,0.448,0.033,,1-2d,1.5,low_dan,-1.5,90,48,62.808,0.2556,0.4556,0.5333,0.4667,5.611,0.3667,0.1222,0.6556,0.2222,0.4978,0.1222,34.2,2.971,1.688,1.688,0.618,2.413,5.434,6.981,15.997,2.711,4.285,0.3444,0.0222,30,50,10,2.5,3.368,0.765,0.7333,0.56,0.9,0.631,False,mid_dan,0.609,0.493,False,False,,,,,,
2026-06-08_205300_8如此而己_vs_JSW69_1780923180030060119.sgf,fox_dan,W,JSW69,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,4,mid_dan,3,12,4d-fox,4.0,mid_dan,1.883,2.013,0.131,7.196,0.262,False,False,False,0.419,0.399,0.02,,1-2d,1.5,low_dan,-1.5,90,48,62.555,0.3556,0.4889,0.5111,0.4889,5.544,0.3889,0.1,0.6222,0.2778,0.53,0.1,34.3,2.681,1.538,1.538,0.678,2.004,3.904,6.086,13.883,2.413,3.702,0.3778,0.0222,30,50,10,2.572,3.047,1.187,0.7,0.58,0.6,0.602,False,mid_dan,0.571,0.442,False,False,,,,,,
