sgf,sample_source,side,player,fox_rank,actual_rank_text,actual_rank_value,actual_group,model_rank_value,model_group,metric_rank_reassigned,metric_reassignment_method,metric_adjusted_rank_value,metric_adjusted_group,metric_nearest_rank_value,metric_nearest_group,metric_cluster_id,metric_cluster_k,metric_cluster_collection_class,metric_cluster_rank_median,metric_cluster_group,metric_cluster_distance,metric_cluster_second_distance,metric_cluster_margin,metric_cluster_radius_p90,metric_cluster_distance_ratio,metric_cluster_reassigned,twelve_d_style_rule_hit,twelve_d_style_rule_reassigned,metric_original_rank_distance,metric_nearest_rank_distance,metric_reassignment_margin,metric_reassignment_reason,strength,estimated_rank_value,estimated_group,numeric_error,samples,max_visits,quality_score,first_choice_rate,top3_rate,top5_rate,outside_top5_rate,average_ai_rank,excellent_rate,great_rate,good_move_rate,inaccuracy_rate,match_rate,mistake_rate,average_difficulty,weighted_point_loss,average_score_loss,average_score_equivalent_loss,median_score_loss,p75_score_equivalent_loss,p90_score_equivalent_loss,p95_score_equivalent_loss,max_score_equivalent_loss,loss_stddev,average_winrate_loss,bad_move_rate,blunder_rate,opening_samples,middlegame_samples,endgame_samples,opening_weighted_loss,middlegame_weighted_loss,endgame_weighted_loss,opening_good_move_rate,middlegame_good_move_rate,endgame_good_move_rate,robust_metric_distance,statistical_outlier,nearest_metric_group,actual_metric_distance,nearest_metric_distance,rank_mismatch_candidate,residual_core_four_outlier,residual_core_four_metric,residual_core_four_direction,residual_core_four_robust_z,residual_core_four_abs_robust_z,residual_core_four_value,residual_core_four_class_median
2026-05-28_221758_张青松_vs_suzuki1324_1779977878030012375.sgf,fox_dan,B,张青松,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,2,low_dan,0,12,1d-fox,1.0,low_dan,3.587,3.598,0.01,7.439,0.482,False,False,False,0.768,0.765,0.003,,1-2k,-1.5,kyu_level,-2.5,90,48,63.853,0.2667,0.4778,0.5889,0.4111,5.289,0.3556,0.0778,0.5444,0.2111,0.4406,0.2444,54.2,4.437,2.959,2.959,0.969,3.895,6.82,10.687,30.605,5.258,2.789,0.4556,0.0667,30,50,10,1.508,3.472,10.431,0.8333,0.42,0.3,0.741,False,low_dan,0.791,0.791,False,False,,,,,,
2026-05-28_221758_张青松_vs_suzuki1324_1779977878030012375.sgf,fox_dan,W,suzuki1324,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,4,mid_dan,3,12,4d-fox,4.0,mid_dan,2.879,2.949,0.07,7.196,0.4,False,False,False,0.833,0.609,0.224,,3-4d,3.5,low_dan,2.5,90,48,68.9,0.4333,0.6556,0.7333,0.2667,3.911,0.5111,0.0444,0.5889,0.2333,0.5422,0.1778,49.8,3.576,2.216,2.216,0.19,2.598,5.73,8.701,24.149,4.43,2.304,0.4111,0.0444,30,50,10,1.582,2.99,7.441,0.8,0.48,0.5,0.86,False,mid_dan,0.743,0.616,False,False,,,,,,
2026-05-28_234236_星之慧尾_vs_shusaku42_1779982956010001173.sgf,fox_dan,B,星之慧尾,8段,8段,8,high_dan,8,high_dan,False,,8,high_dan,10,professional,9,12,10d-pro,10.0,professional,3.282,3.434,0.152,2.475,1.326,False,False,False,0.617,0.512,0.105,,7d,7.0,high_dan,-1.0,51,48,82.275,0.4118,0.7059,0.8235,0.1765,3.157,0.4902,0.2157,0.8824,0.1176,0.6824,0.0,31.1,0.913,0.524,0.524,0.256,0.881,1.524,2.337,2.919,0.763,2.382,0.1176,0.0,30,21,0,0.75,0.985,0.913,0.9,0.8571,0.8824,2.793,False,professional,0.682,0.512,False,False,,,,,,
2026-05-28_234236_星之慧尾_vs_shusaku42_1779982956010001173.sgf,fox_dan,W,shusaku42,8段,8段,8,high_dan,8,high_dan,False,,8,high_dan,12,ai,11,12,12d-katago-rating,12.0,ai,0.975,1.498,0.523,1.847,0.528,False,False,False,0.764,0.157,0.607,,10d-professional,10.0,professional,2.0,51,48,89.655,0.6863,0.9412,1.0,0.0,1.51,0.7843,0.0784,0.9412,0.0392,0.8304,0.0196,32.6,0.659,0.291,0.291,0.0,0.08,0.68,1.333,5.146,0.841,1.508,0.0588,0.0,30,21,0,0.242,0.787,0.659,1.0,0.8571,0.9412,1.414,False,ai,0.815,0.157,False,False,,,,,,
2026-05-29_102908_sndddjg01_vs_V532418279_1780021748030061754.sgf,fox_dan,B,sndddjg01,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,1.509,1.66,0.15,7.439,0.203,False,False,False,0.311,0.311,0.0,,3-5k,-4.0,kyu_level,-5.0,90,48,50.426,0.2111,0.4778,0.5444,0.4556,5.5,0.3111,0.0889,0.5333,0.3111,0.4194,0.1556,33.6,3.585,2.097,2.097,1.049,2.214,5.448,8.054,18.731,3.172,10.843,0.4667,0.0333,30,50,10,2.132,3.819,4.824,0.6333,0.48,0.5,0.45,False,low_dan,0.345,0.345,False,False,,,,,,
2026-05-29_102908_sndddjg01_vs_V532418279_1780021748030061754.sgf,fox_dan,W,V532418279,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,1.801,1.848,0.047,7.433,0.242,False,False,False,0.401,0.362,0.04,,3-5k,-4.0,kyu_level,-5.0,90,48,49.295,0.3111,0.5556,0.6111,0.3889,4.989,0.3889,0.1,0.5889,0.2111,0.485,0.2,27.4,4.433,2.198,2.198,0.733,2.869,5.696,7.157,27.013,3.911,10.506,0.4111,0.0333,30,50,10,2.785,5.241,3.661,0.7,0.54,0.5,0.5,False,low_dan,0.357,0.357,False,False,,,,,,
2026-05-29_130530_cyankite_vs_一勺超人_1780031130010001037.sgf,fox_dan,B,cyankite,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,10,professional,9,12,10d-pro,10.0,professional,1.564,1.649,0.084,2.475,0.632,False,False,False,0.969,0.236,0.733,,9d,9.0,high_dan,4.0,80,48,79.646,0.45,0.7375,0.75,0.25,3.513,0.55,0.15,0.8875,0.0875,0.6994,0.025,31.2,0.852,0.515,0.515,0.0,0.801,1.246,2.309,4.691,0.891,1.201,0.1125,0.0,30,50,0,0.754,0.884,0.852,0.9333,0.86,0.8875,1.501,False,professional,1.019,0.236,False,False,,,,,,
2026-05-29_130530_cyankite_vs_一勺超人_1780031130010001037.sgf,fox_dan,W,一勺超人,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,8,high_dan,6,12,7d-fox,7.0,high_dan,1.978,2.301,0.323,2.791,0.709,False,False,False,0.645,0.369,0.275,,7d,7.0,high_dan,2.0,79,48,83.495,0.3797,0.6329,0.7215,0.2785,4.076,0.5696,0.0633,0.8354,0.1266,0.643,0.038,34.0,1.83,0.929,0.929,0.137,0.925,2.356,3.352,18.849,2.402,1.448,0.1646,0.0127,30,49,0,0.468,2.13,1.83,1.0,0.7347,0.8354,1.075,False,high_dan,0.683,0.36,False,False,,,,,,
2026-05-29_144540_V500013133_vs_V532418279_1780037140030060938.sgf,fox_dan,B,V500013133,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,3,low_dan,3,12,4d-fox,4.0,mid_dan,4.639,4.698,0.06,7.196,0.645,False,False,False,1.013,0.962,0.051,,1-2k,-1.5,kyu_level,-2.5,90,48,51.966,0.1556,0.3556,0.4,0.6,6.622,0.2222,0.1333,0.5889,0.3444,0.4283,0.0667,27.0,2.447,1.495,1.495,1.032,2.277,3.493,4.134,8.365,1.614,3.379,0.4111,0.0,30,50,10,3.071,2.409,0.361,0.6,0.5,1.0,1.122,False,low_dan,1.014,1.014,False,False,,,,,,
2026-05-29_144540_V500013133_vs_V532418279_1780037140030060938.sgf,fox_dan,W,V532418279,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,4,mid_dan,3,12,4d-fox,4.0,mid_dan,3.629,3.695,0.065,7.196,0.504,False,False,False,0.92,0.782,0.137,,1-2k,-1.5,kyu_level,-2.5,90,48,53.969,0.2667,0.4556,0.5444,0.4556,5.567,0.3556,0.1111,0.5111,0.4111,0.4422,0.0778,33.3,2.24,1.388,1.388,0.948,2.094,3.665,4.359,9.475,1.66,2.69,0.4889,0.0,30,50,10,2.045,2.44,0.946,0.6333,0.36,0.9,0.882,False,mid_dan,0.898,0.81,False,False,,,,,,
2026-05-29_150222_钱途无量_vs_V532418279_1780038142030053764.sgf,fox_dan,B,钱途无量,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,6.286,6.331,0.045,7.439,0.845,False,False,False,1.507,1.507,0.0,,3-5k,-4.0,kyu_level,-5.0,90,48,45.946,0.2111,0.3667,0.4111,0.5889,6.656,0.2556,0.0556,0.4222,0.2444,0.3517,0.3333,51.8,6.144,4.149,4.149,1.785,6.237,11.645,12.666,35.586,5.723,9.245,0.5778,0.1333,30,50,10,1.775,7.477,5.055,0.7,0.3,0.2,1.321,False,low_dan,1.582,1.582,False,False,,,,,,
2026-05-29_150222_钱途无量_vs_V532418279_1780038142030053764.sgf,fox_dan,W,V532418279,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,7.026,7.104,0.078,7.439,0.944,False,False,False,1.643,1.643,0.0,,6-10k,-8.0,kyu_level,-9.0,90,48,36.171,0.1444,0.3889,0.4667,0.5333,6.1,0.2222,0.0222,0.3556,0.3333,0.2939,0.3111,44.9,6.585,4.813,4.813,2.29,5.244,9.649,17.301,46.839,8.365,10.304,0.6444,0.1,30,50,10,2.345,8.209,4.525,0.6,0.24,0.2,1.615,False,low_dan,1.742,1.742,False,False,,,,,,
2026-05-29_150342_沈浪2020_vs_天生低手71_1780038222030041078.sgf,fox_dan,B,沈浪2020,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,2.275,2.341,0.066,7.439,0.306,False,False,False,0.99,0.483,0.507,,1-2k,-1.5,kyu_level,-6.5,90,48,57.239,0.2222,0.4778,0.5778,0.4222,5.356,0.3556,0.0778,0.5111,0.2556,0.4067,0.2333,48.6,3.894,2.632,2.632,1.071,3.242,8.407,9.792,18.277,3.787,1.399,0.4889,0.0556,30,50,10,1.931,3.458,8.19,0.7667,0.4,0.3,1.135,False,low_dan,0.943,0.525,False,False,,,,,,
2026-05-29_150342_沈浪2020_vs_天生低手71_1780038222030041078.sgf,fox_dan,W,天生低手71,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,2.001,2.134,0.133,7.433,0.269,False,False,False,0.588,0.404,0.185,,1-2d,1.5,low_dan,-3.5,90,48,61.163,0.3556,0.6111,0.6556,0.3444,4.411,0.4444,0.0444,0.5778,0.2222,0.5,0.2,45.4,3.374,2.181,2.181,0.752,2.88,5.527,9.488,20.494,3.618,0.783,0.4222,0.0444,30,50,10,1.043,3.65,6.054,0.8,0.46,0.5,0.591,False,low_dan,0.544,0.411,False,False,,,,,,
2026-05-29_155733_野狐高段8D_vs_星之慧尾_1780041453030024574.sgf,fox_dan,B,野狐高段8D,8段,8段,8,high_dan,8,high_dan,False,,8,high_dan,10,professional,7,12,8d-fox,8.0,high_dan,1.097,1.291,0.194,3.127,0.351,False,False,False,0.282,0.17,0.112,,7d,7.0,high_dan,-1.0,75,48,84.706,0.4533,0.7333,0.8,0.2,3.267,0.5867,0.1333,0.84,0.12,0.678,0.04,33.7,1.276,0.619,0.619,0.043,0.711,1.78,2.47,6.35,1.231,2.936,0.16,0.0,30,45,0,0.191,1.563,1.276,1.0,0.7333,0.84,0.666,False,professional,0.353,0.17,False,False,,,,,,
2026-05-29_155733_野狐高段8D_vs_星之慧尾_1780041453030024574.sgf,fox_dan,W,星之慧尾,8段,8段,8,high_dan,12.0,ai,True,twelve_d_style_rule,12.0,ai,11,top_professional,10,12,11d-top-pro,11.0,top_professional,2.418,2.628,0.21,2.264,1.068,False,True,True,0.728,0.409,0.319,满足申真谞40% 12d表现线：吻合度>=0.7887、Top5>=0.9115、平均AI排名<=2.1842、折算平均目损<=0.4154、P90目损<=1.1192、失误率<=0.0190,10d-professional,10.0,professional,2.0,75,48,89.356,0.6,0.8933,0.9333,0.0667,2.067,0.7067,0.1733,0.96,0.0267,0.8007,0.0133,27.9,0.801,0.33,0.33,0.0,0.278,0.652,1.133,10.405,1.24,2.182,0.04,0.0133,30,45,0,0.182,1.026,0.801,1.0,0.9333,0.96,2469.748,True,top_professional,0.801,0.409,False,False,,,,,,
2026-05-29_174955_V532418279_vs_乐在对弈中_1780048195030034112.sgf,fox_dan,B,V532418279,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,2,low_dan,0,12,1d-fox,1.0,low_dan,4.001,4.01,0.009,7.439,0.538,False,False,False,0.832,0.818,0.014,,1-2k,-1.5,kyu_level,-2.5,82,48,55.925,0.2439,0.4512,0.5488,0.4512,5.573,0.378,0.1341,0.6098,0.2683,0.472,0.122,29.9,4.488,2.341,2.341,0.586,2.19,4.321,9.758,41.055,5.655,9.321,0.3902,0.0488,30,50,2,1.609,5.04,9.442,0.7,0.56,0.5,0.815,False,low_dan,0.823,0.823,False,False,,,,,,
2026-05-29_174955_V532418279_vs_乐在对弈中_1780048195030034112.sgf,fox_dan,W,乐在对弈中,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,2,low_dan,0,12,1d-fox,1.0,low_dan,3.001,3.036,0.034,7.439,0.403,False,False,False,0.634,0.628,0.005,,1-2k,-1.5,kyu_level,-2.5,81,48,56.235,0.2593,0.4444,0.5185,0.4815,5.704,0.3333,0.0988,0.5802,0.2963,0.4654,0.1235,33.3,3.855,2.223,2.223,0.752,2.698,4.346,7.6,30.134,4.404,9.424,0.4198,0.037,30,50,1,1.538,4.272,7.91,0.7333,0.5,0.0,0.633,False,low_dan,0.625,0.625,False,False,,,,,,
2026-05-29_180144_丁真258_vs_金色那菈_1780048904010001543.sgf,fox_dan,W,金色那菈,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,7,high_dan,5,12,6d-fox,6.0,mid_dan,2.066,2.21,0.144,6.078,0.34,False,False,False,0.501,0.45,0.051,,5-6d,5.5,mid_dan,0.5,90,48,77.403,0.3667,0.6111,0.7222,0.2778,3.978,0.4889,0.0889,0.7,0.2556,0.5756,0.0444,42.4,1.538,0.981,0.981,0.223,1.472,2.913,3.36,12.572,1.693,4.035,0.3,0.0111,30,50,10,1.286,1.712,1.528,0.6333,0.74,0.7,0.802,False,high_dan,0.554,0.487,False,False,,,,,,
2026-05-29_190538_天理在何方_vs_翠花姐姐m_1780052738010001113.sgf,fox_dan,B,天理在何方,9段,9段,9,high_dan,12.0,ai,True,twelve_d_style_rule,12.0,ai,12,ai,11,12,12d-katago-rating,12.0,ai,0.366,1.422,1.056,1.847,0.198,False,True,True,0.641,0.112,0.529,满足申真谞40% 12d表现线：吻合度>=0.7887、Top5>=0.9115、平均AI排名<=2.1842、折算平均目损<=0.4154、P90目损<=1.1192、失误率<=0.0190,11d-top-professional,11.0,top_professional,2.0,90,48,83.993,0.6889,0.8778,0.9444,0.0556,1.889,0.8444,0.0889,0.9667,0.0333,0.845,0.0,31.3,0.197,0.11,0.11,0.0,0.0,0.382,0.719,1.759,0.312,0.815,0.0333,0.0,30,50,10,0.207,0.25,0.0,1.0,0.94,1.0,1.451,False,ai,0.876,0.112,False,False,,,,,,
2026-05-29_190538_天理在何方_vs_翠花姐姐m_1780052738010001113.sgf,fox_dan,W,翠花姐姐m,9段,9段,9,high_dan,12.0,ai,True,twelve_d_style_rule,12.0,ai,12,ai,11,12,12d-katago-rating,12.0,ai,0.78,1.578,0.798,1.847,0.422,False,True,True,0.613,0.162,0.451,满足申真谞40% 12d表现线：吻合度>=0.7887、Top5>=0.9115、平均AI排名<=2.1842、折算平均目损<=0.4154、P90目损<=1.1192、失误率<=0.0190,11d-top-professional,11.0,top_professional,2.0,90,48,87.43,0.6889,0.8778,0.9222,0.0778,2.022,0.8556,0.0778,0.9667,0.0222,0.8439,0.0111,29.3,0.394,0.181,0.181,0.0,0.0,0.326,0.764,6.891,0.777,0.917,0.0333,0.0,30,50,10,0.5,0.425,0.206,0.9333,0.98,1.0,1.391,False,ai,0.836,0.162,False,False,,,,,,
2026-05-29_193551_天理在何方_vs_톡톡톡_1780054551010001427.sgf,fox_dan,W,톡톡톡,9段,9段,9,high_dan,9,high_dan,False,,9,high_dan,12,ai,11,12,12d-katago-rating,12.0,ai,1.3,1.536,0.235,1.847,0.704,False,False,False,0.542,0.179,0.363,,10d-professional,10.0,professional,1.0,90,48,91.484,0.6444,0.8778,0.9444,0.0556,1.944,0.8556,0.0667,0.9333,0.0333,0.8067,0.0333,35.9,0.73,0.31,0.31,0.0,0.0,0.385,1.391,7.687,1.189,0.978,0.0667,0.0,30,50,10,0.053,0.68,1.32,1.0,0.92,0.8,1.316,False,ai,0.76,0.179,False,False,,,,,,
2026-05-29_202635_玩顽玩顽玩_vs_一勺超人_1780057595030061842.sgf,fox_dan,B,玩顽玩顽玩,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,8,high_dan,6,12,7d-fox,7.0,high_dan,2.938,3.221,0.283,2.791,1.053,False,False,False,0.988,0.576,0.412,,1-2d,1.5,low_dan,-1.5,90,48,67.779,0.2889,0.5778,0.6444,0.3556,4.667,0.4556,0.1667,0.7667,0.2111,0.5728,0.0222,25.2,1.288,0.723,0.723,0.427,1.048,1.85,2.913,4.208,0.979,5.161,0.2333,0.0,30,50,10,1.264,1.318,1.189,0.8667,0.7,0.8,1.339,False,professional,1.202,0.591,False,False,,,,,,
2026-05-29_202635_玩顽玩顽玩_vs_一勺超人_1780057595030061842.sgf,fox_dan,W,一勺超人,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,7,high_dan,6,12,7d-fox,7.0,high_dan,1.933,2.423,0.49,2.791,0.692,False,False,False,0.576,0.41,0.165,,3-4d,3.5,low_dan,-1.5,90,48,69.025,0.4,0.5556,0.6222,0.3778,4.678,0.4778,0.0889,0.7333,0.2444,0.6078,0.0222,24.8,1.58,0.852,0.852,0.304,1.234,2.742,3.435,5.382,1.175,5.598,0.2667,0.0,30,50,10,0.96,1.837,1.43,0.9,0.64,0.7,0.859,False,high_dan,0.626,0.415,False,False,,,,,,
2026-05-29_210216_满分100分_vs_HappyGO888_1780059736030043301.sgf,fox_dan,B,满分100分,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,5,mid_dan,5,12,6d-fox,6.0,mid_dan,1.741,1.843,0.102,6.078,0.286,False,False,False,0.339,0.339,0.0,,1-2d,1.5,low_dan,-3.5,87,48,64.716,0.3678,0.5517,0.6897,0.3103,4.414,0.4368,0.1264,0.6437,0.2069,0.5402,0.1494,36.5,3.058,1.637,1.637,0.452,2.675,5.127,6.344,12.957,2.491,2.697,0.3563,0.023,30,50,7,0.564,3.778,2.045,0.8667,0.5,0.7143,0.485,False,mid_dan,0.338,0.338,False,False,,,,,,
2026-05-29_210216_满分100分_vs_HappyGO888_1780059736030043301.sgf,fox_dan,W,HappyGO888,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,6,mid_dan,5,12,6d-fox,6.0,mid_dan,2.709,3.03,0.32,6.078,0.446,False,False,False,0.522,0.48,0.042,,1-2d,1.5,low_dan,-3.5,87,48,66.854,0.3563,0.5632,0.6437,0.3563,4.667,0.4253,0.1609,0.7356,0.1609,0.581,0.1034,27.3,3.118,1.513,1.513,0.359,1.275,3.928,5.681,29.823,3.646,2.539,0.2644,0.023,30,50,7,1.832,3.663,2.083,0.8667,0.68,0.5714,0.742,False,mid_dan,0.512,0.512,False,False,,,,,,
2026-05-30_082558_li宁静致远_vs_zzmtsjs_1780100758030041612.sgf,fox_dan,B,li宁静致远,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,2,low_dan,0,12,1d-fox,1.0,low_dan,2.553,2.561,0.008,7.439,0.343,False,False,False,0.486,0.479,0.007,,3-5k,-4.0,kyu_level,-5.0,79,48,48.615,0.2658,0.5063,0.6076,0.3924,5.089,0.3291,0.1266,0.557,0.2785,0.4538,0.1646,29.5,4.349,2.429,2.429,0.799,2.458,4.539,7.237,33.134,4.997,2.012,0.443,0.0506,30,49,0,2.367,5.298,4.349,0.6667,0.4898,0.557,0.602,False,low_dan,0.479,0.479,False,False,,,,,,
2026-05-30_082558_li宁静致远_vs_zzmtsjs_1780100758030041612.sgf,fox_dan,W,zzmtsjs,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,2.832,3.059,0.227,7.439,0.381,False,False,False,0.668,0.668,0.0,,3-5k,-4.0,kyu_level,-5.0,78,48,50.242,0.2179,0.3462,0.4231,0.5769,6.59,0.2564,0.0513,0.4487,0.3974,0.3846,0.1538,41.7,3.915,2.688,2.688,1.565,2.91,4.763,8.109,24.937,4.725,2.987,0.5513,0.0513,30,48,0,2.819,4.377,3.915,0.4667,0.4375,0.4487,0.933,False,low_dan,0.775,0.775,False,False,,,,,,
2026-05-30_102551_碧桂园_vs_学棋21_1780107951030011959.sgf,fox_dan,B,碧桂园,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,2,low_dan,1,12,2d-fox,2.0,low_dan,1.605,1.772,0.168,7.966,0.201,False,False,False,0.445,0.377,0.068,,1-2d,1.5,low_dan,0.5,70,48,60.176,0.3429,0.5571,0.6,0.4,4.9,0.4429,0.0571,0.5571,0.2571,0.4864,0.1857,43.5,3.835,2.275,2.275,0.585,3.166,6.986,10.007,14.64,3.396,3.996,0.4429,0.0571,30,40,0,1.454,4.414,3.835,0.8,0.375,0.5571,0.373,False,low_dan,0.353,0.353,False,False,,,,,,
2026-05-30_102551_碧桂园_vs_学棋21_1780107951030011959.sgf,fox_dan,W,学棋21,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,3.949,3.964,0.015,7.439,0.531,False,False,False,0.808,0.808,0.0,,3-5k,-4.0,kyu_level,-5.0,69,48,48.345,0.1449,0.2899,0.3768,0.6232,6.768,0.3043,0.087,0.5217,0.1739,0.3696,0.3043,42.2,5.168,3.072,3.072,0.972,4.75,7.91,13.604,17.828,4.311,5.051,0.4783,0.087,30,39,0,1.612,6.112,5.168,0.8,0.3077,0.5217,0.97,False,low_dan,0.853,0.853,False,False,,,,,,
2026-05-30_112726_a531663778_vs_haige01005_1780111646030034677.sgf,fox_dan,B,a531663778,4段,4段,4,mid_dan,4,mid_dan,False,,4,mid_dan,4,mid_dan,1,12,2d-fox,2.0,low_dan,4.243,4.248,0.005,7.966,0.533,False,False,False,0.915,0.915,0.0,,1-2k,-1.5,kyu_level,-5.5,90,48,55.399,0.4111,0.6222,0.6778,0.3222,4.3,0.5222,0.0444,0.6444,0.1333,0.5528,0.2222,28.2,4.201,2.093,2.093,0.15,2.617,8.026,9.865,14.73,3.396,9.635,0.3556,0.0556,30,50,10,6.081,4.147,1.469,0.7667,0.54,0.8,1.27,False,mid_dan,0.947,0.947,False,False,,,,,,
2026-05-30_112726_a531663778_vs_haige01005_1780111646030034677.sgf,fox_dan,W,haige01005,4段,4段,4,mid_dan,4,mid_dan,False,,4,mid_dan,2,low_dan,1,12,2d-fox,2.0,low_dan,3.094,3.192,0.098,7.966,0.388,False,False,False,0.732,0.681,0.051,,1-2d,1.5,low_dan,-2.5,90,48,65.714,0.3333,0.5556,0.5889,0.4111,4.956,0.4333,0.0778,0.6111,0.1667,0.5028,0.2222,49.0,3.651,2.307,2.307,0.564,3.095,8.303,10.084,13.626,3.475,9.915,0.3889,0.0556,30,50,10,4.93,3.964,0.338,0.7667,0.48,0.8,1.044,False,low_dan,0.82,0.677,False,False,,,,,,
2026-05-30_115441_kynne_vs_学棋21_1780113281030011340.sgf,fox_dan,B,kynne,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,2,low_dan,0,12,1d-fox,1.0,low_dan,1.884,1.912,0.029,7.439,0.253,False,False,False,0.428,0.412,0.016,,1-2k,-1.5,kyu_level,-2.5,74,48,51.572,0.2568,0.3784,0.4459,0.5541,6.108,0.4189,0.0541,0.5405,0.3514,0.448,0.1081,29.2,3.902,2.083,2.083,0.703,2.349,4.463,7.474,22.527,3.763,12.355,0.4595,0.0405,30,44,0,1.971,4.447,3.902,0.7667,0.3864,0.5405,0.582,False,low_dan,0.392,0.392,False,False,,,,,,
2026-05-30_115441_kynne_vs_学棋21_1780113281030011340.sgf,fox_dan,W,学棋21,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,1,low_dan,2,12,3d-fox,3.0,low_dan,1.745,1.891,0.145,7.433,0.235,False,False,False,0.418,0.418,0.0,,1-2k,-1.5,kyu_level,-2.5,74,48,57.633,0.3108,0.5,0.5541,0.4459,5.351,0.3784,0.0541,0.5405,0.3378,0.4709,0.1216,38.0,3.345,1.97,1.97,1.11,2.776,5.092,7.493,15.391,2.905,12.717,0.4595,0.027,30,44,0,2.454,3.533,3.345,0.8333,0.3409,0.5405,0.43,False,low_dan,0.407,0.407,False,False,,,,,,
2026-05-30_135456_fujito126_vs_品＿＿＿茶_1780120496010001241.sgf,fox_dan,B,fujito126,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,3.679,3.698,0.019,7.433,0.495,False,False,False,0.853,0.769,0.084,,1-2k,-1.5,kyu_level,-2.5,90,48,55.951,0.1889,0.3556,0.4111,0.5889,6.633,0.2889,0.0778,0.5889,0.3222,0.4411,0.0889,31.9,2.365,1.475,1.475,0.915,2.184,3.304,4.926,10.691,1.803,9.107,0.4111,0.0111,30,50,10,2.466,2.531,0.141,0.7,0.44,1.0,0.9,False,mid_dan,0.834,0.831,False,False,,,,,,
2026-05-30_135456_fujito126_vs_品＿＿＿茶_1780120496010001241.sgf,fox_dan,W,品＿＿＿茶,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,5,mid_dan,4,12,5d-fox,5.0,mid_dan,3.512,3.559,0.047,5.608,0.626,False,False,False,0.975,0.746,0.229,,1-2k,-1.5,kyu_level,-2.5,90,48,56.14,0.2667,0.4,0.4222,0.5778,6.089,0.4222,0.0667,0.6222,0.2889,0.4911,0.0889,22.2,2.314,1.148,1.148,0.711,1.478,3.333,5.05,6.745,1.544,7.639,0.3778,0.0,30,50,10,1.459,2.776,0.314,0.6667,0.52,1.0,0.935,False,mid_dan,0.928,0.751,False,False,,,,,,
2026-05-30_165913_ふじsan_vs_suzuki1324_1780131553010001994.sgf,fox_dan,B,ふじsan,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,2,low_dan,1,12,2d-fox,2.0,low_dan,2.989,3.035,0.046,7.966,0.375,False,False,False,0.584,0.556,0.028,,1-2k,-1.5,kyu_level,-2.5,56,48,58.168,0.25,0.4643,0.625,0.375,5.232,0.3393,0.1429,0.6071,0.25,0.4714,0.1429,36.0,3.58,2.12,2.12,0.662,2.42,5.488,11.158,20.313,3.783,2.809,0.3929,0.0714,30,26,0,1.701,4.609,3.58,0.6667,0.5385,0.6071,0.574,False,low_dan,0.54,0.54,False,False,,,,,,
